age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U11,11,Thu 19:00,JP2,Pitch 6,JP2.2,SPAIN,ARGENTINA
U12,11,Thu 19:00,JP2,Pitch 7,JP2.3,SPAIN,ARGENTINA
U13,11,Thu 19:00,JP2,Pitch 8,JP2.4,SPAIN,ARGENTINA
U14,11,Thu 19:00,JP3,Pitch 9,JP3.1,SPAIN,ARGENTINA
U15,11,Thu 19:00,JP3,Pitch 10,JP3.2,SPAIN,ARGENTINA
U16,11,Thu 19:00,JP3,Pitch 11,JP3.3,SPAIN,ARGENTINA
U17,11,Thu 19:00,JP4,Pitch 12,JP4.1,SPAIN,FRANCE
U17,11,Thu 19:00,JP4,Pitch 13,JP4.2,ENGLAND,ITALY
U17,11,Thu 19:00,JP4,Pitch 14,JP4.3,HOLLAND,GERMANY
U6,12,Thu 19:15,JP1,Pitch 1,JP1.1,GERMANY,HOLLAND
U7,12,Thu 19:15,JP1,Pitch 2,JP1.2,GERMANY,HOLLAND
U8,12,Thu 19:15,JP1,Pitch 3,JP1.3,GERMANY,HOLLAND
U9,12,Thu 19:15,JP1,Pitch 4,JP1.4,GERMANY,HOLLAND
U10,12,Thu 19:15,JP2,Pitch 5,JP2.1,GERMANY,HOLLAND
U11,12,Thu 19:15,JP2,Pitch 6,JP2.2,GERMANY,HOLLAND
U12,12,Thu 19:15,JP2,Pitch 7,JP2.3,GERMANY,HOLLAND
U13,12,Thu 19:15,JP2,Pitch 8,JP2.4,GERMANY,HOLLAND
U14,12,Thu 19:15,JP3,Pitch 9,JP3.1,GERMANY,HOLLAND
U15,12,Thu 19:15,JP3,Pitch 10,JP3.2,GERMANY,HOLLAND
U16,12,Thu 19:15,JP3,Pitch 11,JP3.3,GERMANY,HOLLAND
U17,12,Thu 19:15,JP4,Pitch 12,JP4.1,IRELAND,PORTUGAL
U17,12,Thu 19:15,JP4,Pitch 13,JP4.2,BRAZIL,FRANCE
U17,12,Thu 19:15,JP4,Pitch 14,JP4.3,ENGLAND,HOLLAND
U6,13,Thu 19:30,JP1,Pitch 1,JP1.1,IRELAND,ARGENTINA
U7,13,Thu 19:30,JP1,Pitch 2,JP1.2,IRELAND,ARGENTINA
U8,13,Thu 19:30,JP1,Pitch 3,JP1.3,IRELAND,ARGENTINA
U9,13,Thu 19:30,JP1,Pitch 4,JP1.4,IRELAND,ARGENTINA
U10,13,Thu 19:30,JP2,Pitch 5,JP2.1,IRELAND,ARGENTINA
U11,13,Thu 19:30,JP2,Pitch 6,JP2.2,IRELAND,ARGENTINA
U12,13,Thu 19:30,JP2,Pitch 7,JP2.3,IRELAND,ARGENTINA
U13,13,Thu 19:30,JP2,Pitch 8,JP2.4,IRELAND,ARGENTINA
U14,13,Thu 19:30,JP3,Pitch 9,JP3.1,IRELAND,ARGENTINA
U15,13,Thu 19:30,JP3,Pitch 10,JP3.2,IRELAND,ARGENTINA
U16,13,Thu 19:30,JP3,Pitch 11,JP3.3,IRELAND,ARGENTINA
U17,13,Thu 19:30,JP4,Pitch 12,JP4.1,GERMANY,ITALY
U17,13,Thu 19:30,JP4,Pitch 13,JP4.2,IRELAND,ENGLAND
U17,13,Thu 19:30,JP4,Pitch 14,JP4.3,PORTUGAL,FRANCE
U6,14,Thu 19:45,JP1,Pitch 1,JP1.1,HOLLAND,BRAZIL
U7,14,Thu 19:45,JP1,Pitch 2,JP1.2,HOLLAND,BRAZIL
U8,14,Thu 19:45,JP1,Pitch 3,JP1.3,HOLLAND,BRAZIL
U9,14,Thu 19:45,JP1,Pitch 4,JP1.4,HOLLAND,BRAZIL
U10,14,Thu 19:45,JP2,Pitch 5,JP2.1,HOLLAND,BRAZIL
U11,14,Thu 19:45,JP2,Pitch 6,JP2.2,HOLLAND,BRAZIL
U12,14,Thu 19:45,JP2,Pitch 7,JP2.3,HOLLAND,BRAZIL
