age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U11 Mixed,6,Tue 7:45-8:00,JP1,Pitch 4,JP1.4,GERMANY,HOLLAND
U12 Mixed,6,Tue 7:45-8:00,JP2,Pitch 5,JP2.1,IRELAND,ENGLAND
U12 Mixed,6,Tue 7:45-8:00,JP2,Pitch 6,JP2.2,ARGENTINA,HOLLAND
U13 Mixed,6,Tue 7:45-8:00,JP2,Pitch 7,JP2.3,ENGLAND,PORTUGAL
U13 Mixed,6,Tue 7:45-8:00,JP2,Pitch 8,JP2.4,IRELAND,HOLLAND
U8 Boys,6,Tue 7:45-8:00,JP3,Pitch 9,JP3.1,ENGLAND,GERMANY
U8 Boys,6,Tue 7:45-8:00,JP3,Pitch 10,JP3.2,IRELAND,BRAZIL
U6/U7 Boys,6,Tue 7:45-8:00,JP3,Pitch 11,JP3.3,GERMANY,HOLLAND
U9 Mixed,6,Tue 7:45-8:00,JP4,Pitch 12,JP4.1,IRELAND,ENGLAND
U9 Mixed,6,Tue 7:45-8:00,JP4,Pitch 13,JP4.2,SPAIN,ARGENTINA
U7/U8 Girls,6,Tue 7:45-8:00,JP4,Pitch 14,JP4.3,GERMANY,HOLLAND
U10 Mixed,7,Tue 8:00-8:15,JP1,Pitch 1,JP1.1,IRELAND,HOLLAND
U10 Mixed,7,Tue 8:00-8:15,JP1,Pitch 2,JP1.2,ENGLAND,GERMANY
U11 Mixed,7,Tue 8:00-8:15,JP1,Pitch 3,JP1.3,PORTUGAL,GERMANY
U11 Mixed,7,Tue 8:00-8:15,JP1,Pitch 4,JP1.4,ARGENTINA,BRAZIL
U12 Mixed,7,Tue 8:00-8:15,JP2,Pitch 5,JP2.1,IRELAND,GERMANY
U12 Mixed,7,Tue 8:00-8:15,JP2,Pitch 6,JP2.2,HOLLAND,SPAIN
U13 Mixed,7,Tue 8:00-8:15,JP2,Pitch 7,JP2.3,BRAZIL,ENGLAND
U13 Mixed,7,Tue 8:00-8:15,JP2,Pitch 8,JP2.4,HOLLAND,SPAIN
U8 Boys,7,Tue 8:00-8:15,JP3,Pitch 9,JP3.1,HOLLAND,ENGLAND
U8 Boys,7,Tue 8:00-8:15,JP3,Pitch 10,JP3.2,PORTUGAL,GERMANY
U6/U7 Boys,7,Tue 8:00-8:15,JP3,Pitch 11,JP3.3,IRELAND,ARGENTINA
U9 Mixed,7,Tue 8:00-8:15,JP4,Pitch 12,JP4.1,HOLLAND,ENGLAND
U9 Mixed,7,Tue 8:00-8:15,JP4,Pitch 13,JP4.2,ARGENTINA,GERMANY
U7/U8 Girls,7,Tue 8:00-8:15,JP4,Pitch 14,JP4.3,IRELAND,ARGENTINA
U10 Mixed,9,Thu 6:30-6:45,JP1,Pitch 1,JP1.1,PORTUGAL,ARGENTINA
U10 Mixed,9,Thu 6:30-6:45,JP1,Pitch 2,JP1.2,BRAZIL,SPAIN
U11 Mixed,9,Thu 6:30-6:45,JP1,Pitch 3,JP1.3,IRELAND,ENGLAND
U11 Mixed,9,Thu 6:30-6:45,JP1,Pitch 4,JP1.4,HOLLAND,SPAIN
U12 Mixed,9,Thu 6:30-6:45,JP2,Pitch 5,JP2.1,BRAZIL,ENGLAND
U12 Mixed,9,Thu 6:30-6:45,JP2,Pitch 6,JP2.2,PORTUGAL,ARGENTINA
U13 Mixed,9,Thu 6:30-6:45,JP2,Pitch 7,JP2.3,IRELAND,GERMANY
U13 Mixed,9,Thu 6:30-6:45,JP2,Pitch 8,JP2.4,PORTUGAL,ARGENTINA
U8 Boys,9,Thu 6:30-6:45,JP3,Pitch 9,JP3.1,BRAZIL,SPAIN
U8 Boys,9,Thu 6:30-6:45,JP3,Pitch 10,JP3.2,IRELAND,ARGENTINA
U6/U7 Boys,9,Thu 6:30-6:45,JP3,Pitch 11,JP3.3,SPAIN,HOLLAND
U9 Mixed,9,Thu 6:30-6:45,JP4,Pitch 12,JP4.1,IRELAND,BRAZIL
U9 Mixed,9,Thu 6:30-6:45,JP4,Pitch 13,JP4.2,SPAIN,PORTUGAL
U7/U8 Girls,9,Thu 6:30-6:45,JP4,Pitch 14,JP4.3,SPAIN,HOLLAND
U10 Mixed,10,Thu 6:45-7:00,JP1,Pitch 1,JP1.1,HOLLAND,ENGLAND
U10 Mixed,10,Thu 6:45-7:00,JP1,Pitch 2,JP1.2,IRELAND,GERMANY
U11 Mixed,10,Thu 6:45-7:00,JP1,Pitch 3,JP1.3,GERMANY,BRAZIL
U11 Mixed,10,Thu 6:45-7:00,JP1,Pitch 4,JP1.4,PORTUGAL,ARGENTINA
U12 Mixed,10,Thu 6:45-7:00,JP2,Pitch 5,JP2.1,IRELAND,SPAIN
U12 Mixed,10,Thu 6:45-7:00,JP2,Pitch 6,JP2.2,GERMANY,HOLLAND
U13 Mixed,10,Thu 6:45-7:00,JP2,Pitch 7,JP2.3,BRAZIL,HOLLAND
U13 Mixed,10,Thu 6:45-7:00,JP2,Pitch 8,JP2.4,SPAIN,ENGLAND
U8 Boys,10,Thu 6:45-7:00,JP3,Pitch 9,JP3.1,ENGLAND,PORTUGAL
U8 Boys,10,Thu 6:45-7:00,JP3,Pitch 10,JP3.2,GERMANY,HOLLAND
U6/U7 Boys,10,Thu 6:45-7:00,JP3,Pitch 11,JP3.3,GERMANY,PORTUGAL
U9 Mixed,10,Thu 6:45-7:00,JP4,Pitch 12,JP4.1,ARGENTINA,HOLLAND
U9 Mixed,10,Thu 6:45-7:00,JP4,Pitch 13,JP4.2,ENGLAND,GERMANY
U7/U8 Girls,10,Thu 6:45-7:00,JP4,Pitch 14,JP4.3,GERMANY,PORTUGAL
U10 Mixed,11,Thu 7:00-7:15,JP1,Pitch 1,JP1.1,SPAIN,PORTUGAL
U10 Mixed,11,Thu 7:00-7:15,JP1,Pitch 2,JP1.2,ARGENTINA,BRAZIL
U11 Mixed,11,Thu 7:00-7:15,JP1,Pitch 3,JP1.3,IRELAND,SPAIN
U11 Mixed,11,Thu 7:00-7:15,JP1,Pitch 4,JP1.4,HOLLAND,ENGLAND
U12 Mixed,11,Thu 7:00-7:15,JP2,Pitch 5,JP2.1,ENGLAND,PORTUGAL
U12 Mixed,11,Thu 7:00-7:15,JP2,Pitch 6,JP2.2,ARGENTINA,BRAZIL
U13 Mixed,11,Thu 7:00-7:15,JP2,Pitch 7,JP2.3,PORTUGAL,GERMANY
U13 Mixed,11,Thu 7:00-7:15,JP2,Pitch 8,JP2.4,IRELAND,ARGENTINA
U8 Boys,11,Thu 7:00-7:15,JP3,Pitch 9,JP3.1,ARGENTINA,BRAZIL
U8 Boys,11,Thu 7:00-7:15,JP3,Pitch 10,JP3.2,IRELAND,SPAIN
U6/U7 Boys,11,Thu 7:00-7:15,JP3,Pitch 11,JP3.3,IRELAND,HOLLAND
U9 Mixed,11,Thu 7:00-7:15,JP4,Pitch 12,JP4.1,BRAZIL,SPAIN
U9 Mixed,11,Thu 7:00-7:15,JP4,Pitch 13,JP4.2,IRELAND,PORTUGAL
U7/U8 Girls,11,Thu 7:00-7:15,JP4,Pitch 14,JP4.3,IRELAND,HOLLAND
U10 Mixed,12,Thu 7:15-7:30,JP1,Pitch 1,JP1.1,BRAZIL,ENGLAND
U10 Mixed,12,Thu 7:15-7:30,JP1,Pitch 2,JP1.2,IRELAND,PORTUGAL
